Date,VolTermStructPC1,VolTermStructPC2,MichgnConcIndx,RandPPP_Factor_Inst_TS_ST,BCMPEBLS.Index,PPP.ZA.Index_QS,GLD_FracDiff,GLD_StructBreak,GLD_LempZiev,GLD_RollSD,GLD_RollSkew,GLD_RollKurt,GenComIndexPC1_QS,GlobalEquityTS,GlobalBondVol6,GlobalPropertyVol12,USDZAR_EntDyn,GlobalEquity_EntDyn,SA_NB_Slope,SA_RB_Curvature,US_RB_Curvature,SA_CDS_Slope,EURUSDV6M.Curncy_QS,MXWD.Index.PE.Ratio_QS,TOP40.Index.Price.to.Ebitda_Diff,JALSH.Index.Price.to.Sales.Ratio_Diff,TOP40.Index.Price.to.Book.Ratio_Diff,JALSH_Fundamental_PC1,MXWD_Fundamental_PC1,zrel_momentum_vs_value_12,relvol_momentum_vs_value_12,corr_momentum_value_12,volratio_momentum_value_12,zrel_momentum_vs_quality_12,relvol_momentum_vs_quality_12,corr_momentum_quality_12,volratio_momentum_quality_12,zrel_value_vs_quality_12,relvol_value_vs_quality_12,corr_value_quality_12,volratio_value_quality_12
2009-01-26,87.49678966,13.7908793,55.3,11.3104987,-21.24,1.0,53.75075803,0.964347587,16.2,0.062891743,-0.488068572,-0.560794012,0.675,-17.19578274,0.059611721,0.344698747,5.4,12.4,5.103375716,-0.498225266,-43.9286312,351.5491473,0.99,0.09,2.428639303,0.75286023,0.609906036,-11.36855297,-8.6796921,-0.145331597,0.015336817,0.979124098,0.893375844,-0.049502416,0.10587231,-0.457286549,1.002997995,-0.026939382,0.111806984,-0.445250916,1.122705525
2009-02-02,77.94141201,12.39459498,60.1,11.38443039,-29.02,1.0,-12.43164915,1.152094091,15.8,0.05307403,-0.472513734,-0.309565484,0.59,-15.30162518,0.068466627,0.363814242,5.4,12.0,5.007112019,-0.412474942,-126.9515497,349.6211586,0.99,0.03,2.295080448,0.693657133,0.537571005,-11.54177019,-8.172286549,-1.286395888,0.016019698,0.974376363,0.899148984,0.390853839,0.106212299,-0.57190454,1.028166937,0.547914199,0.11337753,-0.601897965,1.143488961
2009-02-09,89.36779816,11.92350977,60.1,11.71128569,-29.02,1.0,105.9776988,0.240468978,16.2,0.053983383,-0.635895204,-0.298912119,0.525,-14.24870037,0.067476387,0.363825978,5.4,12.4,4.592867761,-0.614926582,-442.2094688,191.724776,0.91,0.005,2.054847946,0.625931797,0.431959119,-11.81319345,-7.38162414,1.579946042,0.017552683,0.968097452,0.883433739,0.114596823,0.085974644,-0.334186608,1.267021902,-0.195782103,0.091325363,-0.292262517,1.434201396
2009-02-16,92.18314062,13.33838888,60.1,12.10780948,-29.02,1.0,43.67305231,0.559559459,16.2,0.052566117,-0.465073441,-0.283141134,0.51,-13.60327272,0.068571318,0.38335715,5.4,11.8,4.405822693,-0.490352547,-369.4317395,166.8101725,0.93,0.005,1.741708618,0.628921434,0.444981812,-11.93375975,-6.443799082,2.048833437,0.022958654,0.935460791,0.787014626,0.09447112,0.065967006,-0.068055429,1.0947777,-0.555880816,0.073408686,0.010046248,1.391051277
2009-02-23,90.20736409,12.04402071,60.1,12.39862464,-29.02,1.0,-1.941056081,0.529441673,16.2,0.055633728,-0.210599795,-0.746030256,0.53,-13.11712259,0.069681125,0.375820972,5.4,12.2,4.446425601,-0.086521553,-421.69674,174.6788852,0.91,0.005,1.787482027,0.626557599,0.453547332,-11.92722956,-6.290285297,-0.012858023,0.022048821,0.949251722,0.758563234,0.63410596,0.058171712,0.064970822,1.155514397,0.536103775,0.069334587,0.070994108,1.523293438
2009-03-02,86.86662514,10.27718189,61.2,12.77639725,-29.02,1.0,54.42929578,0.698324851,16.4,0.05393598,-0.111771791,-0.551291727,0.475,-12.62185351,0.069894825,0.369730921,5.4,12.2,4.02997975,0.096752735,-538.6119698,176.3790217,0.89,0.005,1.809442365,0.594907483,0.399064998,-11.82568403,-6.238844627,-0.474162849,0.022078899,0.951999927,0.752739882,-0.904503468,0.057921512,0.138356279,1.066095129,-0.606471547,0.069123136,0.135263935,1.416286229
2009-03-09,83.87104566,9.568647307,61.2,12.85974521,-29.02,1.0,42.74116641,1.098641712,16.6,0.047594783,-0.419643759,-0.432668469,0.465,-11.66596144,0.06668749,0.385017539,5.4,11.6,3.019257311,-0.065350738,-410.9837059,170.5224456,0.85,0.005,1.655859528,0.602759114,0.412036548,-11.54121549,-6.058607577,0.755382203,0.022154227,0.947558471,0.74423465,-1.313374582,0.061104409,0.058076229,0.956989747,-1.336376287,0.072575282,0.041849422,1.285870991
2009-03-16,83.29043168,10.18017373,61.2,13.16833439,-29.02,1.0,91.81880771,0.790550216,16.0,0.048074575,-0.187011531,-0.620799289,0.34,-11.09897978,0.066747857,0.38597959,5.4,11.2,1.506804232,-0.111297458,-468.0552944,196.3418194,0.86,0.01,1.701019134,0.583642491,0.380887814,-11.73724014,-6.30451855,-0.239687867,0.021060347,0.92419391,0.776095223,-1.09060506,0.062793108,-0.1060136,0.897869961,-0.885247273,0.071657461,-0.113056544,1.156906954
2009-03-23,97.07916257,7.302890613,61.2,13.43744418,-29.02,1.0,94.42931999,1.560757789,16.4,0.048779262,-0.114380216,-0.756225847,0.215,-10.79773266,0.06739212,0.395138823,5.4,11.0,1.623539133,0.074822305,-337.9427221,224.7959631,0.87,0.01,1.615380695,0.564091102,0.330770116,-11.89500646,-5.981344383,1.385110906,0.023184979,0.901768891,0.735342812,-0.848703899,0.059841439,-0.061378267,0.818466738,-1.166891307,0.07104469,-0.115192535,1.113041054
2009-03-30,95.97320818,6.861596959,56.3,13.87016129,-29.02,1.0,37.32225672,0.665133333,16.6,0.053347345,0.001619755,-0.920143611,0.15,-10.63316621,0.070459178,0.395293053,5.4,10.8,1.127137909,-0.018595592,-250.4532057,218.0071969,0.83,0.01,1.495633372,0.599062161,0.377805053,-11.99251536,-5.934087627,-0.620817566,0.023595878,0.861688648,0.654344026,-0.156072481,0.046740211,0.189360527,0.654832089,0.123571293,0.059511193,0.043597439,1.000745881
