Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda
2020-04-13,-0.4812373593141862,-1.4690268862875309,0.3939380364335249,-0.27146081081660195,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-04-20,-0.4812373593141862,-0.1700005956458525,0.3939380364335249,-1.0846864500384938,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-04-27,-0.44464773668445257,0.34960992061081936,0.3939380364335249,-0.27146081081660195,0.0,2.037464499582811,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-05-04,-1.9390532743264899,0.34960992061081936,0.3939380364335249,0.2706896153313267,0.0,2.037464499582811,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-05-11,-1.9390532743264899,0.08980466248248227,0.3939380364335249,0.5417648284052898,0.0,2.037464499582811,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-05-18,-1.9390532743264899,-0.42980585377418723,0.3939380364335249,1.626065680701147,0.0,2.312808125727892,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-05-25,-1.9390532743264899,0.6094151787391541,0.3939380364335249,1.626065680701147,0.0,2.312808125727892,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-06-01,-4.349226732126958,-0.1700005956458525,0.3939380364335249,1.3549904676271816,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-06-08,-4.349226732126958,-0.42980585377418723,0.3939380364335249,1.626065680701147,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-06-15,-4.349226732126958,-0.42980585377418723,0.3939380364335249,2.1682161068490733,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-06-22,-4.349226732126958,0.08980466248248227,0.3939380364335249,2.9814417460709675,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
